;Unnamed: 0;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées;surface;libelle;nom
7232;2845;230 466 110 002;75006;110 RUE D'ASSAS;A;TERRASSE OUVERTE;0.6;5.35;SNC LES FACULTES  (BRASSERIE);48.842492, 2.334632;3.21;BRASSERIE;SNC LES FACULTES  
7233;2846;230 466 110 002;75006;1 RUE JOSEPH BARA;B;TERRASSE FERMEE;0.6;5.35;SNC LES FACULTES  (BRASSERIE);48.842417, 2.334441;3.21;BRASSERIE;SNC LES FACULTES  
7234;2847;230 466 110 002;75006;1 RUE JOSEPH BARA;B;TERRASSE OUVERTE;0.6;4.0;SNC LES FACULTES  (BRASSERIE);48.842417, 2.334441;2.4;BRASSERIE;SNC LES FACULTES  
7235;2848;231 013 003 002;75006;3 RUE BLAISE DESGOFFE;A;TERRASSE OUVERTE;0.8;5.6;SARL ISOTOP  (BRASSERIE);48.845943, 2.324519;4.48;BRASSERIE;SARL ISOTOP  
7236;2865;235 656 001 002;75006;1 RUE LITTRE;A;TERRASSE OUVERTE;0.7;5.4;SARL LE FORUM LITTRE  (BRASSERIE);48.845994, 2.323803;3.78;BRASSERIE;SARL LE FORUM LITTRE  
7237;2880;236 455 127 003;75006;Pan coupé 127 BOULEVARD DU MONTPARNASSE / RUE DE CHEVREUSE;A;TERRASSE FERMEE;3.0;2.85;SARL BRASSERIE FERNAND  (RESTAURANT);48.84152, 2.331365;8.55;RESTAURANT;SARL BRASSERIE FERNAND  
7238;2912;283 124 002 002;75007;85 AVENUE BOQUET;C;TERRASSE FERMEE;4.1;6.8;SARL LA TERRASSE DU 7EME  (BRASSERIE);48.854923, 2.305634;27.88;BRASSERIE;SARL LA TERRASSE DU 7EME  
7239;2913;283 124 002 002;75007;85 AVENUE BOSQUET;C;TERRASSE FERMEE;2.7;4.8;SARL LA TERRASSE DU 7EME  (BRASSERIE);48.854923, 2.305634;12.96;BRASSERIE;SARL LA TERRASSE DU 7EME  
7240;2914;283 124 002 002;75007;85 AVENUE BOSQUET;C;TERRASSE OUVERTE;2.4;7.0;SARL LA TERRASSE DU 7EME  (BRASSERIE);48.854923, 2.305634;16.8;BRASSERIE;SARL LA TERRASSE DU 7EME  
7241;2927;285 306 014 002;75007;14 BOULEVARD DE LA TOUR MAUBOURG;A;CONTRE TERRASSE;1.8;4.2;SA D2SP  (BRASSERIE);48.861485, 2.310121;7.56;BRASSERIE;SA D2SP  
7242;2928;285 306 014 002;75007;14 BOULEVARD DE LA TOUR MAUBOURG;A;TERRASSE FERMEE;2.2;6.1;SA D2SP  (BRASSERIE);48.861485, 2.310121;13.42;BRASSERIE;SA D2SP  
7243;2934;288 052 005 002;75007;5 AVENUE RAPP;A;CONTRE TERRASSE;1.0;3.8;SARL CAFE DE L ALMA  (BRASSERIE);48.860946, 2.301384;3.8;BRASSERIE;SARL CAFE DE L ALMA  
7244;2935;288 052 005 002;75007;5 AVENUE RAPP;A;TERRASSE OUVERTE;0.6;4.6;SARL CAFE DE L ALMA  (BRASSERIE);48.860946, 2.301384;2.76;BRASSERIE;SARL CAFE DE L ALMA  
